	CODI_VIA	TIPUS_VIA	NOM_OFICIAL	NOM_CURT	DESCRIPCIO	DATA_APROVACIO	NOMS_ANTERIORS	DISTRICTES
0	102	C	Carrer dels Llebrencs	Llebrencs	Nom popular que es dóna als nascuts a Vallvidrera, per la forma de caminar que és semblant a la de les llebres.	29/06/1987	Lletra A (Vallvidrera)	SARRIÀ-SANT GERVASI (05)
1	180	C	Carrer A Zona Franca	A	Carrer del polígon industrial del Consorci de la Zona Franca. Amb alguna excepció, els carrers anomenats amb lletres segueixen la direcció nord-sud i els anomenats amb nombres segueixen la direcció est-oest. És un dels carrers més importants de la zona.	16/02/1968		SANTS-MONTJUÏC (03)
2	204	C	Carrer de Guerau de Liost	Guerau de Liost	Jaume Bofill i Mates (Olot, 1878 - Barcelona, 1933). Poeta, polític i periodista conegut amb el pseudònim de Guerau de Liost.	29/07/1987	Ptge. lletra A (Vallvidrera)	SARRIÀ-SANT GERVASI (05)
3	306	C	Carrer de l'Abat Odó	Abat Odó	Abat Odó (? - 1010). Bisbe de Girona (995) i abat del monestir de Sant Cugat del Vallès des de l'any 986 fins al 1010. Després de la incursió d'al-Mansur, l'any 985, a causa de la qual moriren l'abat Joan i dotze monjos, i es destruí el cenobi i es cremà l'arxiu, reféu el monestir i el patrimoni, i obtingué una confirmació global dels seus béns del rei franc Lotari (986) i del papa Silvestre II (1002). Morí a la batalla de Guadeira, durant l'expedició catalana a Còrdova.	 (Abans de 1940)	Otto, 1939; Abat Odó, 1934; Otto, 1907; Santa Eugènia, abans de 1900	SANT ANDREU (09)
4	408	C	Carrer de l'Abat Samsó	Abat Samsó	Miquel Samsó (Girona, 1430 - ?). Abat de Sant Salvador de Breda (1470 - 1507), diputat eclesiàstic de la Generalitat (nomenat el 22 de juliol de l'any 1470) i president de la Generalitat (1470 - 1473). Després de la mort de Carles de Viana, al setembre de 1461, esclatà la Guerra Civil catalana. S'alineà amb els antijoanistes i l'any 1472 va perdre, per ordre de Joan II, les rendes del monestir que administrava. Joan II va aconseguir entrar a Barcelona el 1472 i obligà els rebels a rendir-li obediència. Després de la signatura de la capitulació de Pedralbes, que posà fi al conflicte armat, l'abat Miquel i el jurista Joan Dusai, que havia estat un dels primers doctrinaris jurídics de la revolució de 1461, s'alinearen al costat del rei atrets per la promesa d'atorgar un perdó general i el respecte de les constitucions i els privilegis que la Generalitat disposava al servei de Catalunya.	07/03/1939	Bernat Cavaller, 1931; Abat Samsó, 1927; Bernat Cavaller, 1922; Santa Teresa, abans de 1888	SARRIÀ-SANT GERVASI (05)
5	500	C	Carrer de l'Abat Safont	Abat Safont	Joan de Safont i de Ferrer (Besalú, 1789 - Barcelona, 1847). Historiador, filòsof i benedictí. Abat de Sant Pau del Camp. Catedràtic de filosofia en el Col·legi de Sant Pau del Camp fins a l'exclaustració de 1835. A partir d'aquell moment, es dedicà a la docència i la divulgació de les ciències físiques. Organitzà un museu i una biblioteca.	 (Abans de 1900)	Abad Zafont	CIUTAT VELLA (01)
6	601	C	Carrer de l'Abadessa Olzet	Abadessa Olzet	Sor Sobirana d'Olzet (? - 1336). Primera abadessa del monestir de Pedralbes, electa el 3 de maig de 1327.	25/09/1931	Abadessa d'Olzet, de 1929 a 1931; Sor Sobirana d'Olzet, 1922; Monjas, abans de 1888	LES CORTS (04)
7	703	C	Carrer dels Abaixadors	Abaixadors	S'hi establiren i tingueren la casa gremial els abaixadors, després d'haver-se separat de la confraria dels teixidors de llana, creada per un privilegi donat per Pere IV a Barcelona el 8 de març de 1386. Les primeres ordenances del gremi daten de 1456.	 (Abans de 1865)	Dufort; Forn d'en Dufort, abans del segle XIV	CIUTAT VELLA (01)
8	805	C	Carrer d'Abd el-Kader	Abd el-Kader	Abd el-Kader (Guetna, 1808 - Damasc, 1883). Emir d'Algèria. Emprengué la guerra santa contra França (1832 -1847). El 1837 aconseguí que els francesos li reconeguessin Orà i una part de la província d'Alger. El 1843 els francesos ocuparen tot Algèria i hagué de refugiar-se al Marroc. Vençut a la batalla de l'Isly (1844), s'entregà tres anys més tard als francesos i fou empresonat fins al 1852. En sortir de la presó, es traslladà a Bursa i més tard a Damasc (1855), on visqué d'una pensió que li passava l'Estat francès.	15/11/1950	Abdelcader	HORTA-GUINARDÓ (07)
9	907	C	Carrer d'Abdó Terradas	Abdó Terradas	Abdó Terradas i Pulí (Figueres, 1812 - Medina Sidonia, 1856). Escriptor i polític republicà. Fundà la Societat Patriòtica i començà a difondre un ideari republicà a través d'un fulletó que es convertí en El republicano. Fou alcalde de Figueres el 1842. Es negà a jurar lleialtat a la regència del duc de la Victòria i fou empresonat. S'exilià a Perpinyà i des d'allà envià un famós Pla de la revolució. Tornà a Figueres, però el desterraren a Sigüenza (1844) i tornà a l'exili. Després de la revolució de 1854, fou elegit de nou alcalde de Figueres fins que el capità general Zapatero destituí l'Ajuntament. Anselm Clavé li dedicà l'obra coral La Revolución (1868).	21/06/1922	Dante, 05/09/1907; Del Pino, abans de 1864	GRÀCIA (06)
